,Id,Abbreviation,Chemical_Name,Chemical_Formula,Charge,Average_Molecular_Weight,Monoisotopic_Weight,ChEMBL,KEGGID,PubChemID,ChebiID,HMDB,PDMapName,Reconmap,ReconMap3,FoodDB,ChemSpider,BioCyc,BiggID,Wikipedia,DrugBank,Seed,MetaNetX,KNApSAck,METLIN,CAS_REGISTRY,edpID,InCHIKey,InCHIString,SMILES
10,bio/CHEMBL1447811,12HPET,12(S)-HPETE,C20H31O4,-1,336.4657,336.23005950000004,CHEMBL1447811,C05965,5280892.0,15626.0,HMDB0004243,,12HPET,12HPET,FDB023348,4444415.0,,12HPET,,,,MNXM13989,,7038.0,71774-10-2,DTXSID50349638,ZIOZYRSDNLNNNJ-APFHZBIOSA-M,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m0/s1",[H]OO[C@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
11,bio/C44H69NO13,12htacr,"12-HT or M-VI, 12-Hydroxy Tacrolimus",C44H69NO13,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
12,bio/CHEMBL286398,12ppd_R,Propylene glycol,C3H8O2,0,76.0944,76.0524295,CHEMBL286398,C00583,1030.0,16997.0,HMDB0001881,,12ppd_R,12ppd_R,FDB008274,13835224.0,"PROPANE-1,2-DIOL",12ppd__R,"1,2-Propanediol",,cpd01861,MNXM90191,C00007410,3220.0,57-55-6,DTXSID0021206,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",[H]OC([H])([H])C([H])(O[H])C([H])([H])[H]
13,bio/C3H8O2,12ppd_S,"(S)-Propane-1,2-diol",C3H8O2,0,76.0944,76.0524295,0,C02917,439846.0,29002.0,HMDB0006213,,12ppd_S,12ppd_S,FDB023838,388890.0,#NAME?,12ppd__S,"1,2-propanediol",,cpd00453,MNXM1255,,3220.0,4254-15-3,,DNIAPMSPPWPWGF-VKHMYHEASA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])[H]
14,bio/C20H31O4,12RHPET,12R-Hydroperoxyeicosatetraenoate,C20H31O4,-1,0.0,0.0,0,,,,HMDB06222,,12RHPET,,,,,12RHPET,,,,MNXM13994,,,,,ZIOZYRSDNLNNNJ-AUXIVJNKSA-M,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m1/s1",[H]OO[C@@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
15,bio/C20H27O3,13_cis_oretn,13-Cis-Oxo-Retinoic Acid,C20H27O3,-1,0.0,0.0,0,,,,,,13_cis_oretn,13_cis_oretn,,,,13_cis_oretn,,,,MNXM146866,,,,,GGCUJPCCTQNTJF-FAOQNJJDSA-M,"InChI=1S/C20H26O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13H,11-12H2,1-5H3,(H,22,23)/p-1/b8-6+,10-9+,14-7+,15-13-",[H]/C(=C(/[H])\C(=C(\[H])C([O-])=O)\C([H])([H])[H])/C(/[H])=C(/C(/[H])=C(\[H])C1=C(C(=O)C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])\C([H])([H])[H]
16,bio/C20H27O2,13_cis_retn,13-cis-Retinoic acid,C20H27O2,-1,300.4351,300.20893010000003,0,D00348,5282379.0,6067.0,HMDB0006219,,13_cis_retn,13_cis_retn,FDB023843,4445539.0,,13_cis_retn,13-cis-retinoic_acid,DB00982,,MNXM58377,,,4759-48-2,DTXSID4023177,SHGAZHPCJJPHSC-XFYACQKRSA-M,"InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/p-1/b9-6+,12-11+,15-8+,16-14-",[H]/C(=C(/[H])\C(=C(\[H])C([O-])=O)\C([H])([H])[H])/C(/[H])=C(/C(/[H])=C(\[H])C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])\C([H])([H])[H]
17,bio/C26H35O8,13_cis_retnglc,13-Cis-Retinoyl Glucuronide,C26H35O8,-1,476.56600949999995,476.24101809999996,0,,5281877.0,,,,13_cis_retnglc,13_cis_retnglc,,,,13_cis_retnglc,,,,MNXM146867,,,401-10-5,DTXSID40274187,MTGFYEHKPMOVNE-JZXLACIESA-M,"InChI=1S/C26H36O8/c1-15(11-12-18-17(3)10-7-13-26(18,4)5)8-6-9-16(2)14-19(27)33-25-22(30)20(28)21(29)23(34-25)24(31)32/h6,8-9,11-12,14,20-23,25,28-30H,7,10,13H2,1-5H3,(H,31,32)/p-1/b9-6+,12-11-,15-8+,16-14+/t20-,21-,22+,23-,25+/m0/s1",[H]O[C@@]1([H])[C@]([H])(OC(=O)C(\[H])=C(\C(\[H])=C(/[H])\C(\[H])=C(\C([H])=C([H])C2=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])/C([H])([H])[H])O[C@]([H])(C([O-])=O)[C@@]([H])(O[H])[C@]1([H])O[H]
18,bio/C42H65NO12,1331tacr,"13,31-O-Didesmethyl-Tacrolimus",C42H65NO12,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
19,bio/CHEMBL174324,13dampp,"1,3-Diaminopropane",C3H12N2,2,74.1249,74.08439833,CHEMBL174324,C00986,428.0,15725.0,HMDB0000002,,13dampp,13dampp,FDB005274,415.0,CPD-313,13dampp,,,cpd00726,MNXM146468,C00007404,5081.0,109-76-2,DTXSID1021906,XFNJVJPLKCPIBV-UHFFFAOYSA-P,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2,[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
20,bio/C43H67NO12,13dmt,"13-O-Desmethyl Tacrolimus, 13-DMT or M-I",C43H67NO12,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
21,bio/C3H4O10P2,13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,0,C00236,683.0,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663.0,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O
22,bio/C18H13ClFN3O2,14hmdz,"1,4-Dihydroxy-Midazolam",C18H13ClFN3O2,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
23,bio/C42H65NO12,1513tacr,"13,15-O-Didesmethyl Tacrolimus",C42H65NO12,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
24,bio/C42H65NO12,1531tacr,"15, 31-O-Didesmethyl-Tacrolimus",C42H65NO12,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
25,bio/C43H67NO12,15dmt,"15-DMT or M-III, 15-O-Desmethyl Tacrolimus",C43H67NO12,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
26,bio/C20H31O4,15HPET,15S-Hydroperoxyeicosatetraenoate,C20H31O4,-1,0.0,0.0,0,,5280893.0,,,,15HPET,15HPET,,,,15HPET,,,cpd03555,MNXM162620,,,,,BFWYTORDSFIVKP-VAEKSGALSA-M,"InChI=1S/C20H32O4/c1-2-3-13-16-19(24-23)17-14-11-9-7-5-4-6-8-10-12-15-18-20(21)22/h4-5,8-11,14,17,19,23H,2-3,6-7,12-13,15-16,18H2,1H3,(H,21,22)/p-1/b5-4-,10-8-,11-9-,17-14+/t19-/m0/s1",[H]OO[C@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
27,bio/C20H31O5,15kprostgf2,15-Keto-Prostaglandin F2A,C20H31O5,-1,0.0,0.0,0,,,,,,,15kprostgf2,,,,,,,,,,,,,LOLJEILMPWPILA-AMFHKTBMSA-M,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,16-19,22-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/p-1/b7-4-,13-12+/t16-,17-,18+,19-/m1/s1",[H]O[C@]1([H])C([H])([H])[C@]([H])(O[H])[C@]([H])(C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)[C@@]1([H])C(\[H])=C(/[H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
28,bio/C21H32O3,17ahprgnlone,17a-Hydroxypregnenolone,C21H32O3,0,332.477,332.23514489999997,0,C05138,91451.0,28750.0,HMDB0000363,,17ahprgnlone,17ahprgnlone,FDB021982,82579.0,,17ahprgnlone,17α-Hydroxypregnenolone,,cpd03058,MNXM162733,,5352.0,387-79-1,,JERGUCIJOXJXHF-TVWVXWENSA-N,"InChI=1S/C21H32O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h4,15-18,23-24H,5-12H2,1-3H3/t15-,16+,17-,18-,19-,20-,21-/m0/s1",[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@](O[H])(C(=O)C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H]
29,bio/CHEMBL1062,17ahprgstrn,17-Hydroxyprogesterone,C21H30O3,0,330.4611,330.2194948,CHEMBL1062,C01176,6238.0,17252.0,HMDB0000374,,17ahprgstrn,17ahprgstrn,FDB021992,6002.0,,17ahprgstrn,17-Hydroxyprogesterone,,cpd00866,MNXM162621,,5363.0,68-96-2,DTXSID6040747,DBPWSSGDRRHUNT-CEGNMAFCSA-N,"InChI=1S/C21H30O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h12,16-18,24H,4-11H2,1-3H3/t16-,17+,18+,19+,20+,21+/m1/s1",[H]O[C@]1(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
30,bio/C20H31O3,18harachd,18-Hydroxyarachidonic acid,C20H31O3,-1,320.4663,320.23514489999997,0,,11141754.0,91132.0,HMDB0006245,,18harachd,18harachd,FDB023857,9316866.0,,18harachd,,,,MNXM14054,,,124411-81-0,,PPCHNRUZQWLEMF-LFFPGIGVSA-M,"InChI=1S/C20H32O3/c1-2-19(21)17-15-13-11-9-7-5-3-4-6-8-10-12-14-16-18-20(22)23/h4-7,10-13,19,21H,2-3,8-9,14-18H2,1H3,(H,22,23)/p-1/b6-4-,7-5-,12-10-,13-11-/t19-/m1/s1",[H]O[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O
31,bio/C28H44O4,1a2425thvitd2,"1-a,24R,25-Trihydroxyvitamin D2",C28H44O4,0,444.6466,444.3239598999999,0,,9547253.0,,HMDB0006227,,1a2425thvitd2,1a2425thvitd2,FDB023847,7826193.0,,1a2425thvitd2,,,,MNXM9596,,,,,KRGCLKZOZQUAFK-ABEKVIRTSA-N,"InChI=1S/C28H44O4/c1-18(13-15-28(6,32)26(3,4)31)23-11-12-24-20(8-7-14-27(23,24)5)9-10-21-16-22(29)17-25(30)19(21)2/h9-10,13,15,18,22-25,29-32H,2,7-8,11-12,14,16-17H2,1,3-6H3/b15-13+,20-9+,21-10-/t18-,22-,23-,24+,25+,27-,28-/m1/s1",[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(C(\[H])=C(/[H])[C@](O[H])(C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H]
32,bio/C27H44O4,1a2425thvitd3,24-Hydroxycalcitriol,C27H44O4,0,432.6359,432.3239598999999,0,,6446280.0,47799.0,HMDB0006228,,1a2425thvitd3,,FDB023848,4949843.0,,1a2425thvitd3,,,,MNXM9597,,,56142-94-0,DTXSID40432720,WFZKUWGUJVKMHC-UKBUZQLGSA-N,"InChI=1S/C27H44O4/c1-17(8-13-25(30)26(3,4)31)22-11-12-23-19(7-6-14-27(22,23)5)9-10-20-15-21(28)16-24(29)18(20)2/h9-10,17,21-25,28-31H,2,6-8,11-16H2,1,3-5H3/b19-9+,20-10-/t17-,21-,22-,23+,24+,25-,27-/m1/s1",[H]O[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])\C(=C(/[H])\C(\[H])=C3/C(=C([H])[H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(O[H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H]
33,bio/C28H44O3,1a25dhvitd2,Ercalcitriol,C28H44O3,0,428.6472,428.32904529999996,0,,9547243.0,86320.0,HMDB0006225,,1a25dhvitd2,1a25dhvitd2,FDB023845,7826183.0,,1a25dhvitd2,,,,MNXM9598,,,60133-18-8,DTXSID90429509,ZGLHBRQAEXKACO-XJRQOBMKSA-N,"InChI=1S/C28H44O3/c1-18(9-10-19(2)27(4,5)31)24-13-14-25-21(8-7-15-28(24,25)6)11-12-22-16-23(29)17-26(30)20(22)3/h9-12,18-19,23-26,29-31H,3,7-8,13-17H2,1-2,4-6H3/b10-9+,21-11+,22-12-/t18-,19+,23-,24-,25+,26+,28-/m1/s1",[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(C(\[H])=C(/[H])[C@]([H])(C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H]
34,bio/CHEMBL846,1a25dhvitd3,Calcitriol,C27H44O3,0,416.6365,416.3290453,CHEMBL846,C01673,5280453.0,17823.0,HMDB0001903,,1a25dhvitd3,1a25dhvitd3,FDB021822,4444108.0,CALCITRIOL,1a25dhvitd3,Calcitriol,DB00136,,MNXM9599,,6382.0,32222-06-3,DTXSID5022722,GMRQFYUYWCNGIN-NKMMMXOESA-N,"InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1",[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H]
35,bio/C6H13O7PFULLRCO2,1glyc_hs,1 Acyl Phosphoglycerol,C6H13O7PFULLRCO2,-1,0.0,0.0,0,,,,,,1glyc_hs,1glyc_hs,,,,1glyc_hs,,,,MNXM13807,,,,,,,
36,bio/C13H17O3,1hibup_S,1-Hydroxy S-Ibuprofen,C13H17O3,-1,0.0,0.0,0,,45117195.0,,,,,,,21686528.0,,,,,,,,,,,,,
